date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:45	1871/1871	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_96x60/realizacje/2014/02/27/x22112-wnetrza_w_stylu_angielskim_apartament_styl_angielski_wnetrze_salon.jpg.pagespeed.ic.OtJ1btj8io.jpg	./www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_96x60/realizacje/2014/02/27/x22112-wnetrza_w_stylu_angielskim_apartament_styl_angielski_wnetrze_salon.jpg.pagespeed.ic.OtJ1btj8io/index.jpg	(from http://www.decor-art.com.pl/)
13:35:46	28412/28412	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:35:45%20GMT	http://www.decor-art.com.pl/realizacja/dom-w-alpach	./www.decor-art.com.pl/realizacja/dom-w-alpach/index.html	(from http://www.decor-art.com.pl/)
13:35:48	1611/1611	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_96x60/realizacje/2014/01/14/xdsc_0179.jpg.pagespeed.ic.0tq6C3ZCLU.jpg	./www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_96x60/realizacje/2014/01/14/xdsc_0179.jpg.pagespeed.ic.0tq6C3ZCLU/index.jpg	(from http://www.decor-art.com.pl/)
13:36:23	131/131	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.decor-art.com.pl/misc/xtree.png.pagespeed.ic.3-GH8qBG9G.png	./www.decor-art.com.pl/misc/xtree.png.pagespeed.ic.3-GH8qBG9G/index.png	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:25	128/128	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.decor-art.com.pl/misc/xtree-bottom.png.pagespeed.ic.reLV48hlmS.png	./www.decor-art.com.pl/misc/xtree-bottom.png.pagespeed.ic.reLV48hlmS/index.png	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:29	1336/1336	---M--	200	added ('OK')	image/gif	etag:%22538-495e7a231cf80%22	http://www.decor-art.com.pl/misc/throbber.gif	./www.decor-art.com.pl/misc/throbber/index.gif	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:29	315401/315401	---M--	200	added ('OK')	image/jpeg	etag:%224d009-4ef92ffdcc163%22	http://www.decor-art.com.pl/sites/default/files/slideshowphotos/2010-11-18/dsc_0274.jpg	./www.decor-art.com.pl/sites/default/files/slideshowphotos/2010-11-18/dsc_0274/index.jpg	(from http://www.decor-art.com.pl/)
13:36:30	106/106	---M--	200	added ('OK')	image/png	etag:%226a-495e7a2134b00%22	http://www.decor-art.com.pl/misc/menu-expanded.png	./www.decor-art.com.pl/misc/menu-expanded/index.png	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:31	108/108	---M--	200	added ('OK')	image/png	etag:%226c-495e7a2134b00%22	http://www.decor-art.com.pl/misc/menu-collapsed.png	./www.decor-art.com.pl/misc/menu-collapsed/index.png	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:32	124/124	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.decor-art.com.pl/misc/xgrippie.png.pagespeed.ic.F_DQ8O6W2M.png	./www.decor-art.com.pl/misc/xgrippie.png.pagespeed.ic.F_DQ8O6W2M/index.png	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
